Date Reported,Date of Occurrence,Time of Occurrence,City,Severity,Crime Description,Victim Age,Victim Gender,Weapon Used
23-11-2021,19-11-2021,3,I.C. Colony,1,Vehicle Theft,31,Female,Acid
18-01-2024,16-01-2024,3,Jogeshwari Industrial Area,7,Chain Snatching,47,Female,Acid
25-09-2020,20-09-2020,16,Mira Road Cantonment,3,Robbery,60,Male,None
03-08-2024,01-08-2024,8,Orlem (Malad),3,Kidnapping,20,Male,Explosives
15-02-2023,10-02-2023,14,Juhu Beach Area,1,Human Trafficking,49,Female,Explosives
13-03-2023,04-03-2023,16,Avdhut Nagar (Dahisar),5,Cyber Crime,35,Male,Acid
08-10-2021,29-09-2021,10,Jogeshwari Industrial Area,1,Human Trafficking,30,Other,Knife
19-08-2020,19-08-2020,14,Malad West,4,Chain Snatching,31,Male,Blunt Object
13-12-2023,09-12-2023,13,Panvel,8,Domestic Violence,50,Other,Gun
12-10-2023,02-10-2023,4,Liliya Nagar (Malad),2,Kidnapping,43,Female,Gun
12-03-2022,10-03-2022,5,Sainik Nagar (Jogeshwari),6,Drug Possession,27,Other,Poison
13-10-2022,11-10-2022,23,Sainik Nagar (Jogeshwari),7,Robbery,5,Male,Blunt Object
02-06-2021,26-05-2021,19,Motilal Nagar (Goregaon),4,Cyber Crime,9,Male,Knife
13-11-2024,06-11-2024,20,Carter Road,5,Domestic Violence,35,Female,Knife
02-05-2023,26-04-2023,15,Evershine Nagar (Malad),6,Murder,38,Male,Knife
26-01-2022,17-01-2022,22,Airoli,2,Kidnapping,17,Other,Gun
25-10-2022,24-10-2022,7,Thakur Complex (Kandivali East),6,Murder,69,Other,Gun
25-01-2024,20-01-2024,10,Bandra Fort Area,4,Sexual Assault,63,Male,Knife
08-11-2024,29-10-2024,0,Versova,6,Riot,23,Male,Explosives
24-07-2022,16-07-2022,23,Nerul West,3,Fraud,77,Female,Poison
28-08-2020,18-08-2020,0,Somnath Lane,2,Chain Snatching,8,Male,None
30-08-2021,24-08-2021,8,Janupada (Kandivali East),8,Chain Snatching,67,Male,Explosives
18-08-2022,08-08-2022,0,New Panvel,3,Drug Possession,33,Male,Explosives
17-09-2023,13-09-2023,17,Andheri Hills,8,Human Trafficking,31,Female,Gun
02-11-2020,27-10-2020,3,Dnyaneshwar Marg (Jogeshwari),3,Attempt to Murder,59,Female,Poison
30-08-2022,23-08-2022,4,Davri Nagar (Santacruz East),6,Vehicle Theft,54,Male,Poison
23-04-2023,17-04-2023,2,Borivali West,6,Theft,23,Other,Knife
04-06-2021,31-05-2021,14,Agripada (Santacruz East),6,Vehicle Theft,59,Male,Gun
16-07-2021,10-07-2021,8,Seawoods,4,Theft,29,Male,Acid
06-11-2020,01-11-2020,15,Navi Mumbai Garden City,4,Drug Possession,75,Female,Explosives
15-06-2022,15-06-2022,23,Virar West Industrial Area,6,Cyber Crime,49,Female,Explosives
23-10-2021,22-10-2021,7,Santacruz West,9,Riot,51,Female,Knife
08-10-2023,29-09-2023,19,Jogeshwari East,6,Human Trafficking,76,Male,Explosives
09-02-2024,01-02-2024,6,Vasai Village,8,Vehicle Theft,41,Female,Poison
24-02-2024,14-02-2024,15,Mira Road Junction,7,Domestic Violence,26,Female,None
16-09-2020,08-09-2020,2,Marol Naka,1,Theft,39,Female,Poison
02-08-2022,31-07-2022,2,Malad Market Area,4,Human Trafficking,33,Other,Blunt Object
25-07-2022,23-07-2022,10,Rawalpada (Dahisar),4,Human Trafficking,31,Male,Blunt Object
07-03-2020,06-03-2020,0,Khar Market Area,8,Fraud,38,Male,Knife
28-07-2023,19-07-2023,16,Pali Hill,8,Vehicle Theft,57,Other,Blunt Object
18-06-2021,14-06-2021,17,Navi Mumbai Industrial Area,9,Human Trafficking,77,Female,Acid
06-05-2022,28-04-2022,15,Kopar Khairane,2,Chain Snatching,8,Female,Poison
29-03-2022,24-03-2022,15,Mira Road Cantonment,3,Sexual Assault,35,Female,Acid
03-10-2020,28-09-2020,15,Ghansoli,2,Vehicle Theft,72,Other,Gun
17-04-2020,17-04-2020,12,Four Bungalows,5,Chain Snatching,30,Other,Poison
30-10-2020,20-10-2020,5,Vasai Village,9,Robbery,67,Male,None
30-07-2022,22-07-2022,6,NESCO Colony (Goregaon),2,Sexual Assault,30,Other,Acid
17-08-2021,10-08-2021,18,Vasai Road Area,9,Riot,9,Male,None
01-04-2020,22-03-2020,8,Nehru Nagar (Vile Parle),2,Riot,51,Other,None
27-03-2023,22-03-2023,21,Dnyaneshwar Marg (Jogeshwari),2,Theft,63,Male,Gun
23-01-2020,20-01-2020,1,Avdhut Nagar (Dahisar),2,Cyber Crime,11,Male,Knife
09-08-2020,02-08-2020,22,Yogi Nagar (Borivali),3,Vehicle Theft,80,Other,Knife
07-03-2022,05-03-2022,18,Sant Dnyaneshwar Nagar,4,Domestic Violence,6,Other,None
16-11-2024,10-11-2024,21,Gokuldham (Goregaon),7,Riot,54,Female,Gun
29-08-2024,28-08-2024,6,Chapel Road,9,Vehicle Theft,74,Female,Blunt Object
14-08-2024,13-08-2024,15,Carter Road,8,Murder,7,Male,Acid
19-11-2020,13-11-2020,2,Ghansoli,5,Human Trafficking,54,Female,Poison
28-06-2020,24-06-2020,7,Bandra East,6,Theft,40,Male,None
01-08-2022,23-07-2022,3,Navi Mumbai Central,1,Robbery,20,Other,None
13-03-2022,11-03-2022,5,Irla (Vile Parle),8,Vehicle Theft,60,Female,Gun
22-04-2021,19-04-2021,21,Aarey Milk Colony,1,Extortion,57,Female,Blunt Object
12-08-2022,02-08-2022,5,Malad Market Area,9,Cyber Crime,73,Male,Knife
18-11-2022,12-11-2022,9,Navi Mumbai Harbour,2,Riot,62,Male,Explosives
19-09-2020,11-09-2020,5,Sant Dnyaneshwar Nagar,7,Murder,39,Male,Explosives
13-08-2023,10-08-2023,4,Virar Industrial Area,3,Vehicle Theft,77,Male,Acid
11-03-2021,11-03-2021,17,Kora Kendra,8,Murder,25,Female,Knife
17-06-2024,08-06-2024,15,Jogeshwari West,5,Sexual Assault,44,Male,None
08-12-2020,03-12-2020,15,16th Road (Khar),7,Kidnapping,59,Female,None
24-07-2022,17-07-2022,17,Orlem (Malad),5,Domestic Violence,33,Male,None
01-02-2020,28-01-2020,12,Vile Parle East,2,Murder,46,Other,Gun
20-09-2022,10-09-2022,23,Rawalpada (Dahisar),9,Human Trafficking,9,Other,Acid
19-01-2020,13-01-2020,10,Nerul East,7,Sexual Assault,52,Other,Poison
20-12-2021,11-12-2021,7,Liliya Nagar (Malad),7,Kidnapping,37,Male,None
13-11-2024,04-11-2024,0,Goregaon Industrial Area,5,Riot,42,Female,Gun
14-08-2020,06-08-2020,12,Juhu Beach Area,6,Extortion,30,Other,Acid
23-03-2022,16-03-2022,21,Jankalyan Nagar (Malad),2,Robbery,24,Male,Knife
05-01-2022,27-12-2021,21,Mira Road Colony,4,Extortion,58,Female,Acid
14-09-2022,08-09-2022,19,Evershine Nagar (Malad),5,Riot,5,Female,None
25-03-2022,20-03-2022,22,Goregaon Central,1,Chain Snatching,46,Other,Acid
07-12-2020,30-11-2020,13,Ghansoli,5,Vehicle Theft,25,Other,Blunt Object
22-09-2024,12-09-2024,2,Dahisar West,9,Extortion,45,Female,Poison
20-03-2021,13-03-2021,7,Virar West,7,Sexual Assault,67,Other,Gun
03-02-2020,02-02-2020,5,Navi Mumbai South,4,Chain Snatching,10,Female,Gun
08-07-2023,08-07-2023,14,Malad Industrial Area,1,Fraud,56,Other,Explosives
19-08-2023,12-08-2023,16,LIC Colony (Borivali),3,Fraud,56,Female,Knife
03-11-2024,29-10-2024,1,Bhayandar Central,4,Extortion,34,Female,None
03-04-2020,28-03-2020,22,Navi Mumbai West,3,Riot,70,Female,Knife
10-03-2024,02-03-2024,21,Shivaji Nagar (Santacruz East),6,Chain Snatching,68,Other,Acid
23-08-2024,14-08-2024,11,Shanti Nagar (Dahisar),8,Theft,24,Other,Poison
02-11-2022,23-10-2022,21,Saki Naka,6,Riot,73,Female,Acid
21-02-2020,21-02-2020,16,Malad Market Area,8,Riot,26,Male,None
06-10-2023,03-10-2023,1,Aarey Milk Colony,5,Robbery,18,Male,Gun
16-08-2024,12-08-2024,11,Juhu Market,4,Attempt to Murder,63,Other,Acid
22-01-2020,14-01-2020,15,Juhu Market,7,Robbery,16,Other,None
28-07-2020,24-07-2020,3,Mira Road Colony,9,Theft,19,Female,Blunt Object
05-12-2023,26-11-2023,6,Mira Road West,7,Extortion,41,Other,None
09-01-2022,05-01-2022,5,Nerul East,2,Extortion,7,Other,None
18-12-2024,18-12-2024,15,Borivali West,6,Extortion,11,Female,Explosives
04-09-2022,28-08-2022,5,I.C. Colony,5,Kidnapping,47,Other,Acid
22-04-2023,21-04-2023,3,KR Nagar (Jogeshwari),4,Cyber Crime,10,Male,Gun
08-12-2022,29-11-2022,10,Airoli,6,Kidnapping,21,Male,Gun
01-01-2020,23-12-2019,1,Behram Baug (Jogeshwari),3,Vehicle Theft,28,Female,Acid
06-06-2022,04-06-2022,16,Kopar Khairane West,5,Domestic Violence,64,Other,Explosives
15-06-2024,09-06-2024,19,Goregaon Central,9,Riot,24,Other,Poison
19-01-2024,12-01-2024,8,Bhayandar East,4,Kidnapping,38,Other,Knife
19-06-2023,11-06-2023,1,Tata Blocks,3,Vehicle Theft,8,Female,None
30-12-2022,20-12-2022,22,Vashi Residential,1,Attempt to Murder,50,Male,None
13-12-2020,03-12-2020,4,Bhayandar Central,2,Fraud,80,Male,None
14-07-2021,07-07-2021,22,Goregaon West,5,Drug Possession,20,Female,Explosives
25-02-2020,23-02-2020,14,Kopar Khairane,9,Fraud,67,Other,None
06-07-2021,06-07-2021,20,Avdhut Nagar (Dahisar),6,Theft,62,Other,Acid
09-01-2022,30-12-2021,1,Vile Parle East,9,Sexual Assault,41,Male,Blunt Object
13-11-2021,04-11-2021,2,Marol Naka,9,Drug Possession,40,Other,Acid
26-07-2020,19-07-2020,4,Airoli Industrial Area,6,Fraud,51,Female,Gun
16-09-2023,14-09-2023,16,Navi Mumbai Tech Park,1,Theft,7,Other,Gun
27-02-2021,19-02-2021,18,Bhayandar West,2,Domestic Violence,35,Male,Explosives
13-05-2024,05-05-2024,16,Bhayandar Central,9,Cyber Crime,59,Male,Explosives
03-04-2020,02-04-2020,14,Bandra East,4,Drug Possession,17,Male,Explosives
08-05-2020,03-05-2020,4,Navi Mumbai Harbour,3,Attempt to Murder,38,Male,Explosives
29-05-2021,23-05-2021,12,Carter Road,7,Cyber Crime,19,Male,Explosives
23-10-2020,21-10-2020,18,Davri Nagar (Santacruz East),2,Drug Possession,54,Female,Knife
10-03-2024,05-03-2024,17,Four Bungalows,2,Kidnapping,79,Other,Poison
08-04-2020,05-04-2020,10,Bandra Fort Area,9,Domestic Violence,59,Male,Explosives
13-04-2020,03-04-2020,1,21st Road (Khar),9,Cyber Crime,21,Other,Knife
29-03-2024,19-03-2024,10,Andheri Central,3,Sexual Assault,80,Male,None
13-07-2021,12-07-2021,8,Virar East,2,Cyber Crime,7,Female,Gun
16-05-2023,09-05-2023,4,Juhu,1,Domestic Violence,20,Female,Blunt Object
26-08-2021,25-08-2021,8,Ranwar,7,Drug Possession,69,Other,Explosives
23-09-2024,19-09-2024,9,Navi Mumbai Seawoods Phase 2,6,Riot,25,Female,Knife
29-01-2022,26-01-2022,23,Bhayandar Camp,7,Riot,32,Male,Blunt Object
18-11-2024,12-11-2024,23,Dnyaneshwar Marg (Jogeshwari),7,Fraud,50,Other,Gun
03-10-2021,29-09-2021,1,Navi Mumbai,7,Attempt to Murder,24,Male,Knife
16-08-2022,13-08-2022,8,Virar Junction,6,Attempt to Murder,37,Female,Poison
08-05-2021,05-05-2021,1,Hanuman Nagar (Kandivali East),8,Domestic Violence,17,Female,Knife
16-07-2024,10-07-2024,10,Sant Dnyaneshwar Nagar,4,Murder,30,Male,None
26-01-2021,25-01-2021,13,Mira Road Colony,7,Human Trafficking,55,Other,Explosives
01-08-2021,01-08-2021,14,Jogeshwari Market Area,9,Cyber Crime,76,Male,None
19-01-2024,12-01-2024,21,Janupada (Kandivali East),4,Drug Possession,26,Other,Blunt Object
09-03-2022,07-03-2022,20,Vasai East Town,7,Sexual Assault,69,Male,Knife
22-02-2021,20-02-2021,3,Jogeshwari Industrial Area,3,Riot,60,Female,Poison
26-09-2024,18-09-2024,16,Airoli,9,Theft,31,Female,Gun
15-04-2023,11-04-2023,19,Jogeshwari Market Area,9,Domestic Violence,71,Other,Gun
20-03-2020,11-03-2020,9,Santacruz West,7,Human Trafficking,17,Other,Poison
29-07-2023,25-07-2023,5,Chakala Naka,9,Theft,61,Male,Knife
05-08-2020,01-08-2020,14,Evershine Nagar (Malad),4,Domestic Violence,64,Other,Gun
23-05-2022,17-05-2022,7,Shimpoli,7,Extortion,72,Female,Poison
26-11-2024,20-11-2024,17,Dahisar Industrial Area,5,Drug Possession,52,Other,Explosives
16-08-2022,16-08-2022,17,Vasai East Town,5,Fraud,62,Female,Poison
20-10-2024,19-10-2024,2,Chapel Road,9,Extortion,70,Male,Knife
02-05-2023,29-04-2023,10,Mira Road Colony,4,Sexual Assault,65,Other,None
16-01-2021,07-01-2021,11,Mira Road Junction,1,Riot,54,Female,Poison
08-08-2022,07-08-2022,2,Poisar (Kandivali West),5,Chain Snatching,30,Female,Poison
16-01-2021,07-01-2021,9,Shanti Nagar (Dahisar),3,Vehicle Theft,34,Other,Acid
07-09-2023,05-09-2023,7,Kandivali East,8,Cyber Crime,37,Female,Poison
23-09-2023,22-09-2023,1,Borivali Industrial Area,3,Human Trafficking,51,Female,Explosives
28-10-2023,23-10-2023,17,Kopar Khairane West,5,Riot,10,Female,Poison
23-02-2021,22-02-2021,19,Bandra Fort Area,1,Attempt to Murder,59,Other,Explosives
06-10-2022,05-10-2022,3,21st Road (Khar),6,Attempt to Murder,11,Male,Acid
28-04-2023,24-04-2023,23,Vakola Pipeline (Santacruz East),1,Vehicle Theft,68,Female,None
10-12-2023,05-12-2023,19,Vile Parle Market Area,1,Kidnapping,16,Male,Acid
21-05-2020,15-05-2020,12,Malad West,2,Riot,35,Male,Explosives
03-10-2022,30-09-2022,12,Navi Mumbai Central,9,Extortion,25,Female,Blunt Object
19-07-2024,19-07-2024,4,Navi Mumbai Seawoods Phase 2,3,Theft,42,Other,Knife
22-06-2020,14-06-2020,15,Bhayandar Industrial Area,5,Cyber Crime,30,Other,Knife
10-05-2023,05-05-2023,10,Somnath Lane,7,Extortion,21,Female,Gun
29-10-2020,27-10-2020,20,Jivali Pada (Kandivali),4,Robbery,20,Female,None
01-12-2023,23-11-2023,23,Andheri Market,4,Riot,33,Female,Poison
01-11-2022,26-10-2022,18,Gokuldham (Goregaon),6,Domestic Violence,35,Female,Acid
08-02-2023,31-01-2023,17,Rawalpada (Dahisar),5,Theft,17,Female,Knife
09-07-2023,03-07-2023,15,Jankalyan Nagar (Malad),5,Fraud,57,Other,Explosives
24-01-2023,19-01-2023,12,Bhayandar Market,4,Drug Possession,52,Female,Acid
19-05-2020,19-05-2020,15,Mira Road Cantonment,4,Theft,43,Other,Blunt Object
25-04-2022,24-04-2022,14,Chapel Road,1,Vehicle Theft,67,Other,Poison
30-09-2024,24-09-2024,23,Virar Station Area,7,Drug Possession,52,Other,Poison
21-09-2021,17-09-2021,17,Pali Naka (Khar),2,Sexual Assault,49,Male,Knife
07-01-2020,07-01-2020,9,Dnyaneshwar Marg (Jogeshwari),8,Theft,63,Male,Blunt Object
29-04-2023,26-04-2023,21,Santacruz Market Area,1,Chain Snatching,67,Female,Gun
26-10-2021,18-10-2021,23,Dindoshi (Malad),3,Vehicle Theft,80,Female,Acid
08-06-2024,04-06-2024,20,Subhash Nagar,8,Theft,68,Other,Blunt Object
13-03-2024,03-03-2024,22,Jogeshwari Market Area,5,Murder,30,Male,Explosives
06-09-2022,06-09-2022,14,Juhu Village,8,Chain Snatching,77,Other,Explosives
10-04-2022,04-04-2022,9,Pratiksha Nagar (Jogeshwari),8,Robbery,57,Female,Knife
01-09-2023,27-08-2023,6,Shastri Nagar (Jogeshwari),8,Human Trafficking,9,Other,Knife
18-12-2022,10-12-2022,10,Kopar Khairane West,5,Riot,39,Other,None
08-04-2021,08-04-2021,9,Vakola Pipeline (Santacruz East),5,Extortion,32,Female,Explosives
28-03-2022,24-03-2022,0,Mira Road Cantonment,5,Attempt to Murder,8,Female,Explosives
27-08-2022,17-08-2022,15,Khar West,9,Chain Snatching,65,Other,Knife
06-10-2021,29-09-2021,23,Ranwar,4,Chain Snatching,38,Other,Acid
23-11-2020,19-11-2020,22,Bhayandar West,4,Chain Snatching,70,Female,Knife
25-08-2022,22-08-2022,3,Mira Road Junction,1,Sexual Assault,43,Male,Poison
14-03-2023,13-03-2023,18,Thakur Complex (Kandivali East),6,Kidnapping,71,Male,Knife
14-10-2021,12-10-2021,18,Gokuldham (Goregaon),9,Sexual Assault,45,Female,Gun
21-11-2020,16-11-2020,14,Ghansoli,5,Extortion,44,Female,Explosives
09-06-2022,07-06-2022,1,Bhayandar Camp,8,Kidnapping,71,Male,Knife
27-07-2021,26-07-2021,4,Sant Dnyaneshwar Nagar,3,Theft,44,Female,Gun
17-08-2022,11-08-2022,5,Mira Colony,9,Sexual Assault,26,Female,Gun
13-04-2020,12-04-2020,7,Bandra East,1,Cyber Crime,73,Other,Explosives
29-12-2021,19-12-2021,0,Bandra Reclamation,9,Robbery,38,Female,Gun
11-06-2022,03-06-2022,4,Malvani (Malad),4,Sexual Assault,37,Female,Blunt Object
18-07-2024,09-07-2024,7,Vasai Road Area,8,Domestic Violence,65,Male,Acid
28-02-2024,23-02-2024,16,Navi Mumbai Central,1,Theft,62,Other,Acid
20-09-2021,19-09-2021,16,Andheri Hills,9,Extortion,74,Male,None
26-01-2023,25-01-2023,4,I.C. Colony,9,Vehicle Theft,72,Other,Knife
26-12-2024,20-12-2024,11,Malad West,5,Murder,72,Female,Acid
02-01-2022,28-12-2021,23,Vasai Village,4,Sexual Assault,10,Male,Knife
08-09-2020,04-09-2020,22,Pathanwadi (Malad),5,Robbery,70,Other,Knife
30-08-2021,22-08-2021,12,Andheri Hills,4,Theft,27,Female,Poison
29-01-2024,25-01-2024,4,Pali Hill,7,Attempt to Murder,26,Female,Poison
22-06-2020,12-06-2020,3,Chakala,6,Attempt to Murder,70,Male,Gun
15-08-2024,11-08-2024,6,Seawoods,1,Fraud,60,Female,None
08-04-2024,03-04-2024,7,Andheri West,1,Cyber Crime,7,Male,Knife
31-03-2024,22-03-2024,1,Khar East,5,Attempt to Murder,19,Other,Acid
18-02-2024,09-02-2024,18,Malad Industrial Area,8,Vehicle Theft,18,Male,None
24-06-2021,15-06-2021,10,Malad West,4,Vehicle Theft,40,Male,Poison
21-08-2021,20-08-2021,9,Evershine Nagar (Malad),3,Sexual Assault,59,Other,Acid
20-09-2020,15-09-2020,21,Chapel Road,1,Human Trafficking,42,Male,Knife
21-09-2020,18-09-2020,7,Goregaon West,9,Domestic Violence,25,Other,Explosives
31-08-2024,27-08-2024,7,Bhayandar Central,1,Drug Possession,32,Female,Explosives
25-11-2021,18-11-2021,10,Santacruz Industrial Area,1,Human Trafficking,12,Other,Poison
27-02-2022,20-02-2022,7,Mira Road West,4,Extortion,41,Male,None
13-02-2022,13-02-2022,1,Jogeshwari Market Area,3,Vehicle Theft,63,Male,Knife
07-10-2020,04-10-2020,9,Andheri Market,8,Vehicle Theft,71,Male,Poison
19-05-2023,13-05-2023,7,Sainik Nagar (Jogeshwari),9,Riot,33,Other,Blunt Object
29-11-2023,25-11-2023,1,Bandra West,5,Drug Possession,49,Other,Blunt Object
13-07-2023,03-07-2023,11,Virar West Industrial Area,1,Cyber Crime,47,Other,Acid
27-03-2020,22-03-2020,7,Borivali West,6,Theft,59,Other,None
06-08-2022,28-07-2022,19,Vile Parle Market Area,9,Fraud,29,Female,Blunt Object
19-04-2024,16-04-2024,6,Khar East,3,Robbery,35,Male,Explosives
16-06-2021,07-06-2021,5,Bandra Kurla Complex,7,Human Trafficking,15,Other,Gun
05-07-2020,29-06-2020,7,Nehru Nagar (Vile Parle),3,Robbery,11,Female,Knife
17-06-2023,17-06-2023,7,Bhayandar East,8,Domestic Violence,59,Female,Poison
12-07-2022,06-07-2022,2,Andheri West,2,Sexual Assault,46,Female,Poison
16-08-2024,09-08-2024,14,Vashi,9,Murder,58,Male,Explosives
26-12-2023,23-12-2023,21,Khar Market Area,5,Fraud,38,Female,Knife
21-12-2024,13-12-2024,10,Indiraji Nagar,8,Attempt to Murder,34,Other,Gun
03-04-2021,02-04-2021,4,Lokhandwala,7,Theft,15,Other,Gun
29-08-2024,26-08-2024,12,Nerul West,2,Domestic Violence,49,Female,None
13-06-2023,03-06-2023,5,Dindoshi (Malad),1,Chain Snatching,47,Female,Knife
27-01-2024,18-01-2024,20,Navi Mumbai Harbour,6,Cyber Crime,11,Other,Knife
27-04-2021,19-04-2021,11,Virar West Industrial Area,7,Sexual Assault,9,Female,None
03-01-2022,03-01-2022,21,Somnath Lane,8,Vehicle Theft,34,Male,None
04-10-2024,29-09-2024,12,Momin Nagar (Jogeshwari),4,Attempt to Murder,79,Male,Explosives
06-03-2023,04-03-2023,0,Kandivali West,7,Extortion,74,Other,Blunt Object
12-09-2020,03-09-2020,12,Nerul,4,Vehicle Theft,37,Other,None
30-07-2020,28-07-2020,5,Oshiwara,7,Theft,32,Other,None
09-10-2022,04-10-2022,14,Juhu Village,9,Fraud,72,Male,Acid
09-09-2020,01-09-2020,16,Sainik Nagar (Jogeshwari),9,Theft,45,Female,Acid
15-09-2021,07-09-2021,1,Gokuldham (Goregaon),8,Theft,61,Male,Blunt Object
22-03-2024,14-03-2024,13,Bandra Reclamation,9,Murder,25,Other,Poison
14-04-2021,09-04-2021,8,Shimpoli,4,Vehicle Theft,17,Female,Poison
